frecuencia conceptId term razon_inactivo tipo_reemplazo replace_id replace_term
1 35250003 "lesión traumática por aplastamiento de cadera Y/O muslo (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 211589009 "lesión traumática de cadera y muslo por aplastamiento"
1 374530000 "sulfato de morfina, 10 mg/10 ml, inyectable (producto)" "no conformidad de componente con la política editorial"   
2 376163002 "divalproex sódico, 500 mg, comprimido de liberación modificada (producto)" obsoleto "REEMPLAZADO POR" 780747006 "producto con ácido valproico para administración oral como único ingrediente"
1 371357003 "diazepam, 5 mg/ml, gel (producto)" obsoleto "REEMPLAZADO POR" 778978007 "producto con diazepam para administración rectal como único ingrediente"
1 384922003 "dextrosa al 5%, solución inyectable, ampolla (producto)" "no conformidad de componente con la política editorial"   
1 319668008 "enoxaparina, 100 mg/ml, solución inyectable, jeringa precargada de 0,4 ml (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 781857007 "enoxaparina sódica 100 mg/ml de solución inyectable"
1 319671000 "enoxaparina, 100 mg/ml, solución inyectable, jeringa precargada de 0,6 ml (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 781857007 "enoxaparina sódica 100 mg/ml de solución inyectable"
1 320442002 "salbutamol+bromuro de ipratropio, 100 mcg/20 mcg, inhalador (producto)" "no conformidad de componente con la política editorial"   
1 321454009 "haloperidol, 10 mg/ml, solución inyectable, ampolla de 2 ml (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 781917005 "haloperidol 10 mg/ml de solución inyectable"
3 321700008 "haloperidol, 50 mg/ml, inyectable oleoso (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 781919008 "haloperidol (decanoato de haloperidol) 50 mg/ml de aceite inyectable"
1 294170007 "alergia a preparados de alquitrán mineral para el cuero cabelludo (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 294169006 "alergia a alquitrán de hulla"
1 299368005 "articulación de la rodilla - inestabilidad interoexterna (hallazgo)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 250105000 "inestabilidad del ligamento lateral externo"
1 299368005 "articulación de la rodilla - inestabilidad interoexterna (hallazgo)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 250104001 "inestabilidad del ligamento lateral interno"
82 288833007 "planificación del Programa de Abordaje Asistencial (procedimiento)" "componente trasladado a otra extensión" "TRASLADADO A" 370137002 "espacio de nombre de la extensión {1000000}"
1 304891004 "tratamiento con terapia cognitivo-conductual (régimen/tratamiento)" duplicado "IGUAL QUE" 228557008 "terapia cognitiva y conductual"
2 303688007 "tomografía computarizada de estructura de la región de la muñeca (procedimiento)" duplicado "IGUAL QUE" 241568005 "tomografía computarizada de muñeca"
1 408662006 "distrofia simpático-refleja de extremidad inferior (trastorno)" obsoleto "REEMPLAZADO POR" 734986006 "síndrome de dolor regional complejo de miembro inferior"
1 408679000 "neumonía asociada con la atención médica (trastorno)" duplicado "IGUAL QUE" 425464007 "neumonía hospitalaria"
1 406418002 "fosfato de clindamicina, 150 mg/ml, solución inyectable, ampolla de 4 ml (producto)" "no conformidad de componente con la política editorial"   
0 398846004 "ciprofloxacino, 0,2% + hidrocortisona, 1%, solución ótica (producto)" obsoleto "REEMPLAZADO POR" 784808005 "ciprofloxacino 2 mg/ml e hidrocortisona 10 mg/ml, suspensión ótica"
1 400901000 "lorazepam, 4 mg/ml, solución inyectable, vial de 1 ml (producto)" "no conformidad de componente con la política editorial"   
1 413515002 "ampicilina 500 mg/sulbactam 250 mg, polvo para inyección (producto)" "no conformidad de componente con la política editorial"   
1 392263003 "ampicilina, 10 g, inyectable (producto)" "no conformidad de componente con la política editorial"   
1 443658004 "reemplazo de articulación de rodilla derecha (procedimiento)" duplicado "IGUAL QUE" 443682009 "reemplazo total de articulación de rodilla derecha"
1 45518007 "diurético tiazídico (producto)" "no conformidad de componente con la política editorial"   
2 54505002 "hipotermia accidental (trastorno)" duplicado "IGUAL QUE" 212916004 "hipotermia accidental"
1 704317002 "producto que contiene tofacitinib 5 mg por cada comprimido para administración oral (medicamento clínico)" erróneo "REEMPLAZADO POR" 783122002 "tofacitinib (como citrato de tofacitinib) 5 mg por cada comprimido para administración oral"
1 716654007 "síndrome de Turcot no asociado con poliposis (trastorno)" obsoleto "REEMPLAZADO POR" 716318002 "síndrome de Lynch"
3 86894005 "resección de trompa de Falopio, unilateral (situación)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 176917009 "salpingectomía izquierda"
3 86894005 "resección de trompa de Falopio, unilateral (situación)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 176916000 "salpingectomía derecha"
1 95806007 "celulitis del oído externo (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 232214001 "celulitis de la aurícula"
1 211684007 "quemadura superficial de cara, cabeza o cuello (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 447157009 "quemadura epidérmica de cara"
1 211684007 "quemadura superficial de cara, cabeza o cuello (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 287139006 "quemadura epidérmica de la cabeza"
1 211684007 "quemadura superficial de cara, cabeza o cuello (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 38966005 "quemadura epidérmica del cuello"
1 192992007 "crisis epilépticas - mioclónicas (trastorno)" duplicado "IGUAL QUE" 37356005 "convulsiones mioclónicas"
1 178516004 "operaciones de columna cervical y dorsal (procedimiento)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 428490009 "procedimiento quirúrgico en columna vertebral cervical"
1 178516004 "operaciones de columna cervical y dorsal (procedimiento)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 428614005 "procedimiento quirúrgico sobre estructura de la columna vertebral dorsal"
1 160963009 "muerte del hermano (evento)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 160447006 "hermano fallecido"
1 234163005 "síncope mediado neuralmente (trastorno)" duplicado "IGUAL QUE" 398665005 "síncope vasovagal"
2 237134002 "sangrado ovulatorio disfuncional (hallazgo)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 266603000 "sangrado relacionado con la ovulación"
2 28260004 "traslado del paciente a otro centro sanitario, no clasificado, explicado por el informe (procedimiento)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 19712007 "traslado del paciente a otro centro sanitario"
1 272060000 "fatiga - síntoma (hallazgo)" duplicado "IGUAL QUE" 84229001 fatiga
1 257397005 "sutura Dexon (objeto físico)" erróneo "REEMPLAZADO POR" 463323001 "sutura de ácido poliglicólico"
1 254688005 "quiste glandular (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 235111007 "quiste odontógeno glandular"
1 325634008 "progesterona, 50 mg/ml, solución inyectable, ampolla de 1 ml (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 782079003 "progesterona 50 mg/ml de solución inyectable"
147 346388008 "anticonceptivo oral combinado (producto)" "no conformidad de componente con la política editorial"   
1 347412006 "gentamicina, 800 mcg/ml, solución para infusión, vial de 100 ml (producto)" "no conformidad de componente con la política editorial"   
8 347498009 "cloruro de sodio, 0,9%, solución para infusión, bolsa (producto)" obsoleto "REEMPLAZADO POR" 780472007 "producto con cloruro de sodio para administración parenteral como único ingrediente"
1 348335005 "clorhidrato de lidocaína, 2%, solución (producto)" duplicado "IGUAL QUE" 766298003 "clorhidrato de lidocaína 20 mg/ml, solución cutánea"
1 349861009 "benzodiazepina, sedante (producto)" "no conformidad de componente con la política editorial"   
2 3745000 "trastorno del ciclo de sueño - vigilia (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 271794005 "trastorno del ciclo sueño-vigilia"
1 375065000 "colestiramina, 4 g, polvo (producto)" obsoleto "REEMPLAZADO POR" 319948000 "colestiramina 4 g por cada sachet de polvo para suspensión oral"
6 375220000 "bromuro de ipratropio, 0,06%, aerosol (producto)" obsoleto "REEMPLAZADO POR" 784853007 "bromuro de ipratropio 42 microgramos por cada disparo de aerosol nasal"
9 376193008 "fluoruro de sodio, 1,23% (producto)" "no conformidad de componente con la política editorial"   
1 376342009 "fluoruro de sodio, 1,24% (producto)" "no conformidad de componente con la política editorial"   
1 377374005 "epinefrina 20 mcg/clorhidrato de lidocaína 20 mg, solución inyectable, vial (producto)" "no conformidad de componente con la política editorial"   
1 370197000 "ibuprofeno, 40 mg/ml, gotas orales (producto)" obsoleto "REEMPLAZADO POR" 370196009 "ibuprofeno 40 mg/ml, suspensión oral"
1 370257009 "sulfato de morfina, 5 mg/ml, inyectable (producto)" "no conformidad de componente con la política editorial"   
1 371467009 "insulina isófana humana bifásica 25/75, 100 unidades/ml, solución inyectable, vial de 5 ml (producto)" obsoleto "REEMPLAZADO POR" 784507008 "insulina isófana humana 75 unidades/ml e insulina regular humana recombinante 25 unidades/ml, suspensión inyectable"
1 384863005 "complejo hierro dextran, 50 mg/ml, solución inyectable, ampolla de 2 ml (producto)" "no conformidad de componente con la política editorial"   
6 320346000 "bromuro de ipratropio, 250 mcg/ml, solución para nebulización (producto)" obsoleto "REEMPLAZADO POR" 784854001 "bromuro de ipratropio 250 microgramos/ml, solución para inhalación"
7 320569003 "budesonida, 500 mcg/2 ml, unidad de nebulización (producto)" obsoleto "REEMPLAZADO POR" 785050003 "budesonida 250 microgramos/ml, solución para inhalación"
6 320727004 "clorhidrato de difenhidramina, 10 mg/5 ml, jarabe (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 769298004 "clorhidrato de difenhidramina 2 mg/ml solución para administración oral"
1 321426002 "haloperidol, 1 mg/5 ml, solución oral sin azúcar (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 766483002 "haloperidol 200 microgramos/ml, solución oral"
4 322965009 "valproato de sodio, 200 mg, comprimido de liberación modificada (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 765633006 "valproato de sodio 200 mg por cada comprimido de liberación prolongada para administración oral"
4 323885000 "producto que contiene cefalexina 250 mg por cada comprimido para administración oral (medicamento clínico)" erróneo "REEMPLAZADO POR" 783074002 "cefalexina (como cefalexina monohidrato) 250 mg por cada comprimido para administración oral"
2 324203007 "eritromicina, 500 mg/5 ml, suspensión sin azúcar (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 324234006 "eritromicina (como etilsuccinato de eritromicina) 100 mg/ml, suspensión oral"
3 325070005 "insulina lispro, 100 unidades/ml, solución inyectable, jeringa precargada tipo lapicera de 3 ml (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 781942001 "insulina lispro 100 unidades/ml de solución inyectable"
1 285419000 "mano en garra (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 367393006 "mano en garra adquirida"
5 28560003 "hipovolemia (trastorno)" duplicado "IGUAL QUE" 816082000 hipovolemia
1 290132003 "intoxicación por medicamento de venta libre (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 7895008 "intoxicación causada por fármaco Y/O sustancia medicinal"
12 416168007 "insulina bifásica (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 39487003 "producto con insulina"
2 416785003 "insulina detemir, 100 UI/ml, solución inyectable, jeringa precargada tipo lapicera con 3 ml (producto)" "no conformidad de componente con la política editorial"   
1 407795005 "lanreotida, 90 mg/0,3 ml, jeringa precargada (producto)" "no conformidad de componente con la política editorial"   
0 409129005 "producto que contiene clozapina 100 mg por cada comprimido de disolución oral para administración oral (medicamento clínico)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 321574000 "clozapina 100 mg por cada comprimido para administración oral"
5 409255001 "alendronato sódico, 70 mg/75 ml, solución oral (producto)" obsoleto "REEMPLAZADO POR" 785047001 "ácido alendrónico (como alendronato de sodio) 933 microgramos/ml, solución oral"
4 40421008 "cistocele sin prolapso uterino (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 252005008 "cistocele femenino"
2 398934004 "dextrosa al 5% en solución salina normal al 0,2% (producto)" "no conformidad de componente con la política editorial"   
13 400242006 "insulina asparta, 100 unidades/ml, solución inyectable, dispositivo inyectable precargado descartable de 3 ml (producto)" "no conformidad de componente con la política editorial"   
1 400637007 "dextrosa, 5 g/100 ml (al 5%), solución inyectable, vial de 100 ml (producto)" "no conformidad de componente con la política editorial"   
1 400837009 "clorhidrato de labetalol, 5 mg/ml, solución inyectable, vial de 4 ml (producto)" "no conformidad de componente con la política editorial"   
3 415771000 "hernia no complicada de la pared abdominal anterior (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 414396006 "hernia de la pared abdominal anterior"
2 441908002 "zolpidem, 10 mg, comprimido sublingual (producto)" obsoleto "REEMPLAZADO POR" 785075004 "tartrato de zolpidem 10 mg por cada comprimido sublingual"
2 423763002 "levetiracetam, 100 mg/ml, solución inyectable, vial de 5 ml (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 781959006 "clorhidrato de levetiracetam 100 mg/ml de solución inyectable"
1 426818003 "insulina detemir, 100 UI/ml, solución inyectable, vial de 10 ml (producto)" "no conformidad de componente con la política editorial"   
3 43751000119109 "dolor periorbitario y/u ocular (hallazgo)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 86260003 "dolor alrededor el ojo"
3 43751000119109 "dolor periorbitario y/u ocular (hallazgo)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 41652007 "dolor en el ojo"
2 448801000 "clorhidrato de metformina + saxagliptina (producto)" "no conformidad de componente con la política editorial"   
22 53026004 "articulación (entidad observable)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 735384006 "articulación vocal"
2 709078005 "producto alergénico (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 709079002 "extracto de alérgeno"
3 108855002 "etabonato de loteprednol (producto)" "no conformidad de componente con la política editorial"   
2 209464005 "esguince metacarpofalángico (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 32128001 "esguince de articulación metacarpofalángica"
1 209571002 "esguince de cóccix (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 90631008 "esguince de ligamento sacrococcígeo"
1 196810004 "hernia inguinal irreductible unilateral (situación)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 767687004 "hernia inguinal derecha irreductible"
1 196810004 "hernia inguinal irreductible unilateral (situación)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 767686008 "hernia inguinal izquierda irreductible"
2 197479008 "enfermedad celíaca adquirida (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 396331005 "enfermedad celíaca"
2 116342008 "quiste endometriósico del ovario (trastorno)" duplicado "IGUAL QUE" 237116001 endometrioma
3 236765008 "inflamación de testículo y epidídimo (trastorno)" duplicado "IGUAL QUE" 197983000 "orquitis y epididimitis"
5 326905008 "metotrexato, 1 g/10 ml, inyectable (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 781985005 "metotrexato (como metotrexato de sodio) 100 mg/ml de solución inyectable"
3 331293009 "gluconato de clorhexidina+clorbutol, 0,1/0,5%, colutorio (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 766594000 "gluconato de clorhexidina 1 mg/ml y clorobutanol 5 mg/ml solución para administración oromucosa"
3 332360001 "clindamicina, 1%, solución alcohólica tópica (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 766295000 "clindamicina (como fosfato de clindamicina) 10 mg/ml solución para administración dérmica"
5 332975004 "metronidazol, gel (producto)" "no conformidad de componente con la política editorial"   
3 350378006 "anticonceptivo oral fásico (producto)" "no conformidad de componente con la política editorial"   
1 350461001 "prednisolona, gota (producto)" "no conformidad de componente con la política editorial"   
1 374117005 "fosfato de clindamicina, 300 mg/50 ml, solución (producto)" "no conformidad de componente con la política editorial"   
16 374243004 "fluoruro de fosfato acidulado, 1,23%, gel (producto)" obsoleto "REEMPLAZADO POR" 775997006 "producto con fluoruro como único ingrediente"
2 374796007 "fluoruro de sodio, 0,5 mg (producto)" "no conformidad de componente con la política editorial"   
11 374899007 "acetato de leuprorelina, 7,5 mg, polvo para suspensión inyectable, vial (producto)" obsoleto "REEMPLAZADO POR" 785214003 "acetato de leuprorelina 7,5 mg/ml, suspensión inyectable"
24 375589001 "fluoruro de sodio, 50 mg/ml (producto)" "no conformidad de componente con la política editorial"   
1 375696005 "fluoruro de sodio, 2% (producto)" obsoleto "REEMPLAZADO POR" 777559000 "producto con fluoruro de sodio como único ingrediente"
5 376099009 "filgrastim, 300 mcg/ml, solución (producto)" "no conformidad de componente con la política editorial"   
1 377335003 "dexametasona + tobramicina, 1 mg/3 mg, ungüento (producto)" "no conformidad de componente con la política editorial"   
1 3712000 "ojo degenerado (trastorno)" duplicado "IGUAL QUE" 62585004 "trastorno degenerativo del globo ocular"
1 373412001 "hallazgo relacionado con el ciclo menstrual (hallazgo)" duplicado "IGUAL QUE" 276319003 "hallazgo relacionado con el sangrado menstrual"
2 384846006 "cloruro de potasio, solución inyectable, ampolla (producto)" "no conformidad de componente con la política editorial"   
1 318006003 "furosemida, 20 mg/5 ml, solución oral sin azúcar (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 766478005 "furosemida 4 mg/ml de solución para administración oral"
1 321302003 "lorazepam, 4 mg/ml, inyectable (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 781972007 "lorazepam 4 mg/ml de solución inyectable"
1 322174007 "producto que contiene ondansetrón 8 mg por cada comprimido para administración oral (medicamento clínico)" erróneo "REEMPLAZADO POR" 783365006 "ondansetrón (como clorhidrato de ondansetrón) 8 mg por cada comprimido para administración oral"
1 324900000 "cloroquina, 200 mg/5 ml, inyectable (producto)" "no conformidad de componente con la política editorial"   
3 287029002 "ganglión/ quiste sinovial - muñeca (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 202942009 "ganglión de muñeca"
3 287029002 "ganglión/ quiste sinovial - muñeca (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 767192001 "quiste sinovial de muñeca"
3 302822000 "insulinoma (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 788390005 "insulinoma benigno"
3 302822000 "insulinoma (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 713189001 "insulinoma maligno"
1 416332008 "etabonato de loteprednol + tobramicina (producto)" "no conformidad de componente con la política editorial"   
1 419002006 "hierro sacarosa, 20 mg/ml, solución inyectable, vial de 2,5 ml (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 781947007 "hierro (como hierro sacarosa) 20 mg/ml de solución inyectable"
1 407768000 "pamidronato disódico, 90 mg/10 ml, inyectable (producto)" "no conformidad de componente con la política editorial"   
1 406305006 "cloruro de sodio, 0,9%/glucosa, 5%, solución para infusión, bolsa de 500ml (producto)" "no conformidad de componente con la política editorial"   
16 400877001 "insulina glargina, 100 unidades/ml, solución inyectable, dispositivo inyectable precargado descartable de 3 ml (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 789679003 "insulina glargina 100 unidades/ml de solución inyectable"
3 412218007 "insulina isófana NPH + insulina humana recombinante (producto)" "no conformidad de componente con la política editorial"   
1 412448008 "insulina glulisina, 100 unidades/ml, inyectable, vial de 10 ml (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 781941008 "insulina glulisina 100 unidades por cada mililitro de solución inyectable"
2 41432000 "estridor laríngeo (hallazgo)" obsoleto "REEMPLAZADO POR" 773117009 "estridor laríngeo"
44 438856002 "ibuprofeno, 50 mg/1,25 ml, suspensión oral (producto)" duplicado "IGUAL QUE" 370196009 "ibuprofeno 40 mg/ml, suspensión oral"
2 4496006 "cuidado especial de la boca (régimen/tratamiento)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 717778001 "cuidado de la cavidad bucal"
2 4496006 "cuidado especial de la boca (régimen/tratamiento)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 386375006 "mantenimiento de la salud bucal"
6 65638005 "preparado de corticotrofina-hidróxido de cinc (producto)" "no conformidad de componente con la política editorial"   
4 56404003 "contracción uterina falsa (hallazgo)" duplicado "IGUAL QUE" 32644009 "contracciones de Braxton Hicks"
2 705353008 "puente dental (objeto físico)" duplicado "IGUAL QUE" 272299003 "puente dental"
2 84772008 "estrógeno y progesterona combinados (producto)" "no conformidad de componente con la política editorial"   
6 79608006 "dolor causado por cualquier dispositivo, implante Y/O injerto (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 473023007 "complicación asociada con dispositivo"
2 78566006 "implante obstétrico (procedimiento)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 782902008 "procedimiento de implante"
2 78566006 "implante obstétrico (procedimiento)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 386637004 "procedimiento obstétrico"
3 192523000 "trastorno en las relaciones sexuales (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 766068002 "problema de relación sexual"
1 200603001 "forúnculo de la cara (excluido el ojo) (trastorno)" duplicado "IGUAL QUE" 37396007 "forúnculo de cara"
2 215297007 "caída desde animal montado, jinete lesionado (evento)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 215295004 "caída desde animal montado"
1 116369009 "implante en el sistema tegumentario (procedimiento)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 118665004 "procedimiento en el sistema tegumentario"
80 125581003 "vacuna antidiftérica y antitetánica, y vacuna antitosferínica acelular (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 421245007 "vacuna antidiftérica, antitosferínica y antitetánica"
5 184139002 "registro del paciente - datos variados (hallazgo)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 307825005 "estado de datos de registro del paciente"
2 249709003 "desviación vertical de la columna vertebral (hallazgo)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 64217002 "curvatura de la columna vertebral"
2 249709003 "desviación vertical de la columna vertebral (hallazgo)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 298382003 "deformidad escoliótica de la columna"
2 242952005 "agresión sexual y violación (evento)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 248111006 "violación - agresión"
2 242952005 "agresión sexual y violación (evento)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 248110007 "ataque sexual"
2 271875007 "debilidad senil (hallazgo)" duplicado "IGUAL QUE" 18726006 "astenia senil"
1 274117006 "embarazo y enfermedad infecciosa (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 40609001 "enfermedad infecciosa en la madre que complica el embarazo, el nacimiento Y/O el puerperio"
1 275984001 "inmunización rechazada (hallazgo)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 591000119102 "vacuna rechazada por el paciente"
1 255050003 "tumor de origen desconocido o en sitio mal definido (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 255051004 "tumor de origen desconocido"
1 255050003 "tumor de origen desconocido o en sitio mal definido (trastorno)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 255054007 "tumor en sitio mal definido"
7 225081009 "drenaje de sonda vesical (procedimiento)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 225082002 "vaciamiento de sonda vesical"
1 325444003 "prednisolona, 5 mg, comprimido soluble (producto)" obsoleto "REEMPLAZADO POR" 784639005 "prednisolona 5 mg por cada comprimido desleíble bucal"
4 326906009 "metotrexato, 100 mg/ml, solución inyectable, vial de 50 ml (producto)" ambiguo "POSIBLEMENTE EQUIVALENTE A" 781985005 "metotrexato (como metotrexato de sodio) 100 mg/ml de solución inyectable"
3 333669004 "vacuna conjugada contra meningococo C, polvo y solvente para solución inyectable, vial (producto)" obsoleto "REEMPLAZADO POR" 359068008 "vacuna del meningococo C conjugado"
1 346541005 "mononitrato de isosorbida de liberación modificada (producto)" "no conformidad de componente con la política editorial"   
1 346575006 "fármaco misceláneo para la cistitis (producto)" "no conformidad de componente con la política editorial"   
8 348025008 "sulfato ferroso, 30 mg/5 ml, solución oral pediátrica (producto)" "no conformidad de componente con la política editorial"   
1 349888004 "carbazepina, antiepiléptico (producto)" "no conformidad de componente con la política editorial"   
16 359950007 "inmunización de refuerzo (procedimiento)" duplicado "IGUAL QUE" 359953009 "vacunación de refuerzo"
1 360470001 "hipersecreción crónica de moco (trastorno)" duplicado "IGUAL QUE" 89549007 "bronquitis catarral"
11 374063001 "cipionato de estradiol, 5 mg/ml, inyectable (producto)" "no conformidad de componente con la política editorial"   
2 375886004 "ceftriaxona sódica, 10 g, polvo para solución inyectable, vial (producto)" obsoleto "REEMPLAZADO POR" 785940002 "ceftriaxona (como ceftriaxona sódica) 10 g por cada vial de polvo para solución inyectable"
11 376151007 "estradiol, 2,17 mg (producto)" "no conformidad de componente con la política editorial"   
2 376622009 "loratadina, 10 mg/10 ml, jarabe (producto)" obsoleto "REEMPLAZADO POR" 769303002 "loratadina 1 mg/ml de solución para administración oral"
1 376879004 "celulosa de hidroxipropilo, 5 mg/unidad (producto)" "no conformidad de componente con la política editorial"   
